Isla,Municipio,Ayuntamiento,URL oficial ayuntamiento,URL transparencia,Estado busqueda
El Hierro,El Pinar de El Hierro,Ayuntamiento de El Pinar de El Hierro,http://www.elpinardeelhierro.com,Unknown,pendiente
El Hierro,Frontera,Ayuntamiento de La Frontera,http://www.aytofrontera.org/,Unknown,pendiente
El Hierro,Valverde,Ayuntamiento de Valverde,http://www.aytovalverde.org/,Unknown,pendiente
La Gomera,Agulo,Ayuntamiento de Agulo,http://www.agulo.org/,Unknown,pendiente
La Gomera,Alajero,Ayuntamiento de Alajero,http://www.ayuntamientoalajero.es/,Unknown,pendiente
La Gomera,Hermigua,Ayuntamiento de Hermigua,http://www.hermigua.es/,Unknown,pendiente
La Gomera,San Sebastian de La Gomera,Ayuntamiento de San Sebastian de La Gomera,http://www.sansebastiangomera.org/,Unknown,pendiente
La Gomera,Valle Gran Rey,Ayuntamiento de Valle Gran Rey,http://www.vallegranrey.es/,Unknown,pendiente
La Gomera,Vallehermoso,Ayuntamiento de Vallehermoso,http://www.ayuntamientovallehermoso.org/,Unknown,pendiente
La Palma,Barlovento,Ayuntamiento de Barlovento,http://www.barlovento.es/,Unknown,pendiente
La Palma,Brena Alta,Ayuntamiento de Brena Alta,http://www.balta.org/,Unknown,pendiente
La Palma,Brena Baja,Ayuntamiento de Brena Baja,http://www.bbaja.es/,Unknown,pendiente
La Palma,El Paso,Ayuntamiento de El Paso,http://www.elpaso.es/,Unknown,pendiente
La Palma,Fuencaliente,Ayuntamiento de Fuencaliente de La Palma,http://www.fuencalientedelapalma.es/,Unknown,pendiente
La Palma,Garafia,Ayuntamiento de Garafia,http://www.garafia.es/,Unknown,pendiente
La Palma,Los Llanos de Aridane,Ayuntamiento de Los Llanos de Aridane,http://www.aridane.org/,Unknown,pendiente
La Palma,Puntagorda,Ayuntamiento de Puntagorda,http://www.puntagorda.es/,Unknown,pendiente
La Palma,Puntallana,Ayuntamiento de Puntallana,http://www.puntallana.es/,Unknown,pendiente
La Palma,San Andres y Sauces,Ayuntamiento de San Andres y Sauces,http://www.sanandresysauces.es,Unknown,pendiente
La Palma,Santa Cruz de La Palma,Ayuntamiento de Santa Cruz de La Palma,http://www.santacruzdelapalma.es/,Unknown,pendiente
La Palma,Tazacorte,Ayuntamiento de Tazacorte,http://www.tazacorte.es/,Unknown,pendiente
La Palma,Tijarafe,Ayuntamiento de Tijarafe,http://www.tijarafe.es,Unknown,pendiente
La Palma,Villa de Mazo,Ayuntamiento de Villa de Mazo,http://www.villademazo.com,Unknown,pendiente
Fuerteventura,Antigua,Ayuntamiento de Antigua,http://www.ayto-antigua.es,Unknown,pendiente
Fuerteventura,Betancuria,Ayuntamiento de Betancuria,http://www.aytobetancuria.org/,Unknown,pendiente
Fuerteventura,La Oliva,Ayuntamiento de La Oliva,http://www.laoliva.es/,Unknown,pendiente
Fuerteventura,Pajara,Ayuntamiento de Pajara,http://www.pajara.es,Unknown,pendiente
Fuerteventura,Puerto del Rosario,Ayuntamiento de Puerto del Rosario,http://www.puertodelrosario.org,Unknown,pendiente
Fuerteventura,Tuineje,Ayuntamiento de Tuineje,http://www.ayuntamientotuineje.com,Unknown,pendiente
Lanzarote,Arrecife,Ayuntamiento de Arrecife,http://www.arrecife.es,Unknown,pendiente
Lanzarote,Haria,Ayuntamiento de Haria,http://www.ayuntamientodeharia.com,Unknown,pendiente
Lanzarote,San Bartolome,Ayuntamiento de San Bartolome,http://www.sanbartolome.es,Unknown,pendiente
Lanzarote,Teguise,Ayuntamiento de Teguise,http://www.teguise.es,Unknown,pendiente
Lanzarote,Tias,Ayuntamiento de Tias,http://www.ayuntamientodetias.es,Unknown,pendiente
Lanzarote,Tinajo,Ayuntamiento de Tinajo,http://www.tinajo.es,Unknown,pendiente
Lanzarote,Yaiza,Ayuntamiento de Yaiza,http://www.yaiza.org,Unknown,pendiente
Gran Canaria,Agaete,Ayuntamiento de Agaete,http://www.aytoagaete.es,Unknown,pendiente
