source,source_url,retrieved_at,keep_numeric_id,project_id,project_acronym,project_name,programme,programming_period,status,start_date,end_date,lead_partner_name,lead_partner_country,partner_count,themes,project_summary_excerpt,outputs_excerpt
keep.eu,https://keep.eu/projects/31257/,2026-06-01T04:42:57.066Z,31257,EAPA_0031/2022,DIBEST,Digital Innovation for Blue Enterprises & Social Tourism,2021 - 2027 Interreg VI-B Atlantic Area,2021-2027,ongoing,2023-07-03,2026-07-03,Western Development Commission (Regional Development ),Ireland,28,Tourism | SME and entrepreneurship | Knowledge and technology transfer,"DIBEST is a collaboration that helps small businesses in the Blue Economy (like fisheries or marine-related activities) and Social Tourism across Atlantic regions. They do this by bringing together different kinds of partners: businesses, schools, and tourism organizations.
This...",
keep.eu,https://keep.eu/projects/31256/,2026-06-01T04:42:57.066Z,31256,EAPA_0011/2022,DiadSea,Transnational cooperation to improve the management and conservation of diadromous fish at sea,2021 - 2027 Interreg VI-B Atlantic Area,2021-2027,ongoing,2023-11-01,2026-10-31,Universidade de Évora (Marine and Environmental Sciences Center ),Portugal,40,Coastal management and maritime issues | Climate change and biodiversity,"DiadSea is working on creating plans for taking care of certain types of fish, called diadromous fish, in the Atlantic Area. These fish live in both fresh and saltwater, which makes it challenging to manage and protect them. They are found in the Atlantic Area, but there aren't...",
keep.eu,https://keep.eu/projects/31255/,2026-06-01T04:42:57.066Z,31255,EAPA_0048/2022,BOTS,Blue Organoids for Treatment Selection,2021 - 2027 Interreg VI-B Atlantic Area,2021-2027,ongoing,2023-12-31,2026-12-30,Université de Bordeaux (Bordeaux Institute of Oncology),France,6,Innovation capacity and awareness-raising | Health and social services | SME and entrepreneurship,"The main goal is to develop and produce marine hydrogels for use in the health field, particularly in treating breast cancer. BOTS is creating new synthesise hydrogels from marine biomass, based on biopolymers from fish, crustaceans and algae, and derivatise them with peptides a...",
keep.eu,https://keep.eu/projects/31254/,2026-06-01T04:42:57.066Z,31254,EAPA_0008/2022,BLUESKILLING INNOVATION,"Upskilling workers in the Atlantic shipbuilding and maritime tech industry to boost industrial competitiveness, sustainability and blue innovation",2021 - 2027 Interreg VI-B Atlantic Area,2021-2027,ongoing,2023-11-02,2026-10-30,Foro Marítimo Vasco (Employment and Training ),Spain,10,"Labour market and employment | Waterways, lakes and rivers | Infrastructure","Intending to promote good environmental practices on the part of companies working in the shipbuilding and marine renewables sectors, the project is investing in training activities to make greater use of digital tools and to adopt new technologies that ensure clean energy. BLUE...",
keep.eu,https://keep.eu/projects/31253/,2026-06-01T04:42:57.066Z,31253,EAPA_0035/2022,BluePoint,BluePoint - Blue circular economy of marine plastics,2021 - 2027 Interreg VI-B Atlantic Area,2021-2027,ongoing,2023-11-01,2026-06-30,DIPUTACION FORAL DE GIPUZKOA (Departamento de medioambiente y obras hidráulicas),Spain,23,Coastal management and maritime issues | Waste and pollution,"The project will create a multi-stakeholder ecosystem and model of intercooperation, innovation, entrepreneurship and internationalization that leverages the marine plastic value chain and emerging business opportunities that arise from marine plastic pollution. Based on the Atl...",
keep.eu,https://keep.eu/projects/31252/,2026-06-01T04:42:57.066Z,31252,EAPA_0028/2022,BLUE SHUTTLE,ATLANTIC AREA NETWORK FOR ENHANCING INNOVATION IN THE BLUE ECONOMY SECTOR,2021 - 2027 Interreg VI-B Atlantic Area,2021-2027,ongoing,2023-11-01,2026-10-31,Fundación Bahía de Cádiz para el Desarrollo Económico (EU Project's Department),Spain,11,Innovation capacity and awareness-raising | ICT and digital society | Knowledge and technology transfer,"Blue Shuttle will accelerate the digitalisation of the blue bioeconomy sector in Atlantic regions, through a Blue Innovation Network. The focus will be on a broad innovation strategy to facilitate the adoption of digital solutions by the Blue Bioeconomy sector, specifically Mari...",
keep.eu,https://keep.eu/projects/31251/,2026-06-01T04:42:57.066Z,31251,EAPA_0032/2022,BEAP-MAR,Blue Bioeconomy in the Atlantic Area: New Products from Marine Organisms,2021 - 2027 Interreg VI-B Atlantic Area,2021-2027,ongoing,2023-12-15,2026-12-14,"Universidade de Santiago de Compostela (Faculty of Veterinary Science - Department of Pharmacology, Pharmacy and Pharmaceutical Technology )",Spain,17,Coastal management and maritime issues | Climate change and biodiversity | Knowledge and technology transfer,"The project has a goal to increase our understanding of marine organisms, especially the ones that are not commonly used for commercial purposes, like new types of algae, marine fungi, and sponges.
The main objective is to make good use of these organisms and create new useful s...",
keep.eu,https://keep.eu/projects/31250/,2026-06-01T04:42:57.066Z,31250,EAPA_0027/2022,ATLIC,Atlantic InnoBlue Communities,2021 - 2027 Interreg VI-B Atlantic Area,2021-2027,ongoing,2023-09-01,2026-08-31,"Município de Santo Tirso (Departamento Jurídico, Financeiro e da Transição Digital)",Portugal,23,Education and training | SME and entrepreneurship,"ATLIC wants to change how young people come up with new ideas and start businesses in the blue economy of the Atlantic Area. The main goal is to create a test community called the Atlantic Innovation Blue Community.
Partners plan to do this by setting up special places called op...",
keep.eu,https://keep.eu/projects/31249/,2026-06-01T04:42:57.066Z,31249,EAPA_0004/2022,Atlantic Whale Deal,Mitigating Ship Strikes and Enhancing Carbon Sequestration in the Atlantic,2021 - 2027 Interreg VI-B Atlantic Area,2021-2027,ongoing,2023-12-01,2026-11-30,"ARDITI - Agência Regional para o Desenvolvimento da Investigação, Tecnologia e Inovação (Projects Department)",Portugal,19,Coastal management and maritime issues | Climate change and biodiversity,"The ATLANTIC WHALE DEAL aims to make sure that ships don't accidentally hit whales in the Atlantic Area. Partners from different countries are working together to prevent these collisions that can damage biodiversity, trying out new and smart technologies to reduce ship strikes....",
keep.eu,https://keep.eu/projects/31248/,2026-06-01T04:42:57.066Z,31248,EAPA_0047/2022,ATLANTIC SUNSET,Sunset Tourism in the Atlantic Area,2021 - 2027 Interreg VI-B Atlantic Area,2021-2027,ongoing,2023-07-01,2026-06-30,Centro De [Estudios] Estudos Euro [Rexionais] Regionais Galicia [Galiza] - Norte De Portugal (Centro De [Estudios] Estudos Euro [Rexionais] Regionais Galicia [Galiza] - Norte De Portugal ),Spain,24,Tourism | SME and entrepreneurship | Community integration and common identity,"ATLANTIC_SUNSET brings together researchers from the Atlantic Area to make the most of the beautiful sunsets and related events in Western Europe.
The main goal is to promote the West Coast as a tourist destination, make the local economy more diverse and stop people from moving...",
