organization_id,organization_name,organization_type,partner_country,partner_region,source_dataset,source_wave,source_project_ids,source_project_names,source_project_urls,website_url,contact_url,documents_url,score,score_reason,suggested_angle,dedupe_key,normalization_notes
org_sapienza_university_of_rome_italy_unirom_13ec2610,Sapienza University of Rome,University / Research,Italy,00185 Roma,interreg_mac,wave1 | wave2,00048,Developing Inclusive Education in the Mediterranean,https://keep.eu/projects/33268/,http://www.uniroma1.it,http://www.uniroma1.it,,4.9,2021-2027 ongoing; training/learning signal; capacity-building signal; knowledge-transfer signal; N.a.; geo=5,"Turn training, workshops and capacity-building assets into scalable learning paths.",sapienza university of rome::Italy::uniroma1.it,merged_from=2_rows
org_la_palma_research_centre_la_palma_office_8d4d3eae,La Palma Research Centre (La Palma Office),Unknown,Spain,Los Llanos de Aridane,interreg_mac,wave1 | wave2,EAPA_0143/2024,Social Ecological Impact Assessment for the Maritime Sector in the Atlantic Area,https://keep.eu/projects/31295/,,https://keep.eu/projects/31295/,,4.8,2021-2027 ongoing; knowledge-transfer signal; business-facing beneficiaries; N.a.; geo=5,Convert project outputs into reusable SME and entrepreneurship training journeys.,la palma research centre (la palma office::Spain,merged_from=2_rows
org_universit_degli_studi_di_bari_aldo_moro_598fc36c,Università degli Studi di Bari Aldo Moro,University / Research,Italy,70121 Bari,interreg_mac,wave1 | wave2,00032,"Healthcare Enterprises and Research Alliance for Collaboration, Learning, and Exploitation of AI-driven business Solutions",https://keep.eu/projects/33271/,https://www.uniba.it,https://www.uniba.it/it,,4.65,2021-2027 ongoing; training/learning signal; knowledge-transfer signal; business-facing beneficiaries; N.a.; geo=5,Convert project outputs into reusable SME and entrepreneurship training journeys.,università degli studi di bari aldo moro::Italy::uniba.it,merged_from=2_rows
org_universidad_de_huelva_spain_uhu_es_b672c674,Universidad de Huelva,Unknown,Spain,21007 Huelva,interreg_mac,wave1 | wave2,00032,"Healthcare Enterprises and Research Alliance for Collaboration, Learning, and Exploitation of AI-driven business Solutions",https://keep.eu/projects/33271/,http://www.uhu.es,http://www.uhu.es,,4.65,2021-2027 ongoing; training/learning signal; knowledge-transfer signal; business-facing beneficiaries; N.a.; geo=5,Convert project outputs into reusable SME and entrepreneurship training journeys.,universidad de huelva::Spain::uhu.es,merged_from=2_rows
org_associaci_fons_catal_de_cooperaci_al_des_bb4836cc,Associació Fons Català de Cooperació al Desenvolupament,Association,Spain,08002 Barcelona,interreg_mac,wave1 | wave2,00015,EmpoweerNEET MED: Upskilling NEETs through Social and Solidarity Economy,https://keep.eu/projects/33267/,https://www.fonscatala.org,https://www.fonscatala.org/en,,4.65,2021-2027 ongoing; training/learning signal; capacity-building signal; knowledge-transfer signal; business-facing beneficiaries; N.a.; geo=5,Convert project outputs into reusable SME and entrepreneurship training journeys.,associació fons català de cooperació al desenvolupament::Spain::fonscatala.org,merged_from=2_rows
org_aqualgae_sociedade_limitada_research_and_554b42f4,Aqualgae Sociedade Limitada (Research and Development),Unknown,Portugal,Viana do Castelo,interreg_mac,wave1 | wave2,EAPA_0145/2024,Sustainable Microalgae and Cyanobacteria-Based Bioactive Compounds for Cosmeceuticals and Nutraceuticals,https://keep.eu/projects/31296/,,https://keep.eu/projects/31296/,,4.6,2021-2027 ongoing; knowledge-transfer signal; business-facing beneficiaries; N.a.; geo=5,Convert project outputs into reusable SME and entrepreneurship training journeys.,aqualgae sociedade limitada (research and development::Portugal,merged_from=2_rows
org_universitat_polit_cnica_de_val_ncia_spai_f5f5951e,Universitat Politècnica de València,University / Research,Spain,46022 Valencia,interreg_mac,wave1 | wave2,00048,Developing Inclusive Education in the Mediterranean,https://keep.eu/projects/33268/,https://irp.webs.upv.es,https://irp.webs.upv.es/,,4.55,2021-2027 ongoing; training/learning signal; capacity-building signal; knowledge-transfer signal; N.a.; geo=5,"Turn training, workshops and capacity-building assets into scalable learning paths.",universitat politècnica de valència::Spain::irp.webs.upv.es,merged_from=2_rows
org_fondazione_meno_ets_italy_italy_fondazio_bc8b89dc,Fondazione MeNO ETS – Italy,Foundation / NGO,Italy,90133 Palermo,interreg_mac,wave1 | wave2,00048,Developing Inclusive Education in the Mediterranean,https://keep.eu/projects/33268/,https://www.fondazionemeno.org,https://www.fondazionemeno.org/,,4.55,2021-2027 ongoing; training/learning signal; capacity-building signal; knowledge-transfer signal; N.a.; geo=5,"Turn training, workshops and capacity-building assets into scalable learning paths.",fondazione meno ets – italy::Italy::fondazionemeno.org,merged_from=2_rows
org_technological_university_of_the_shannon_ee38d0e5,Technological University of the Shannon: Midlands Midwest (Research Development and Innovation ),University / Research,Ireland,Athlone,interreg_mac,wave1 | wave2,EAPA_0143/2024,Social Ecological Impact Assessment for the Maritime Sector in the Atlantic Area,https://keep.eu/projects/31295/,,https://keep.eu/projects/31295/,,4.5,2021-2027 ongoing; knowledge-transfer signal; business-facing beneficiaries; N.a.; geo=3,Convert project outputs into reusable SME and entrepreneurship training journeys.,technological university of the shannon: midlands midwest (research development and innovation ::Ireland,merged_from=2_rows
org_south_east_technological_university_riko_8fce285a,South East Technological University (RIKON Research Centre - SETU),University / Research,Ireland,Waterford,interreg_mac,wave1 | wave2,EAPA_0143/2024 | EAPA_0029/2022,"Social Ecological Impact Assessment for the Maritime Sector in the Atlantic Area | Atlantic New Bauhaus Laboratory for Sustainable, Inclusive and Beautiful Blue Tourism, Heritage and Culture of the Sea",https://keep.eu/projects/31295/ | https://keep.eu/projects/31270/,,https://keep.eu/projects/31295/,,4.5,2021-2027 ongoing; knowledge-transfer signal; business-facing beneficiaries; N.a.; geo=3,Convert project outputs into reusable SME and entrepreneurship training journeys.,south east technological university (rikon research centre - setu::Ireland,merged_from=3_rows
org_dire_o_regional_de_pol_ticas_mar_timas_d_e07693b6,Direção Regional de Políticas Marítimas (Direção de Serviços da Biodiversidade e Política do Mar),Regional Authority,Portugal,Horta,interreg_mac,wave1 | wave2 | wave3,EAPA_0143/2024 | EAPA_0004/2022,Social Ecological Impact Assessment for the Maritime Sector in the Atlantic Area | Mitigating Ship Strikes and Enhancing Carbon Sequestration in the Atlantic,https://keep.eu/projects/31295/ | https://keep.eu/projects/31249/,,https://keep.eu/projects/31295/,,4.45,2021-2027 ongoing; knowledge-transfer signal; business-facing beneficiaries; N.a.; geo=5,Convert project outputs into reusable SME and entrepreneurship training journeys.,direção regional de políticas marítimas (direção de serviços da biodiversidade e política do mar::Portugal,merged_from=3_rows
org_comunidade_intermunicipal_do_oeste_secre_b99b506b,Comunidade Intermunicipal do Oeste (Secretariado Executivo),Unknown,Portugal,Caldas da Rainha,interreg_mac,wave1 | wave2,EAPA_0143/2024 | EAPA_0084/2024,Social Ecological Impact Assessment for the Maritime Sector in the Atlantic Area | iSURFATLANTIC - An Inclusive and Sustainable Surfing Route for the Atlantic Area,https://keep.eu/projects/31295/ | https://keep.eu/projects/31280/,,https://keep.eu/projects/31295/,,4.45,2021-2027 ongoing; knowledge-transfer signal; business-facing beneficiaries; N.a.; geo=5,Convert project outputs into reusable SME and entrepreneurship training journeys.,comunidade intermunicipal do oeste (secretariado executivo::Portugal,merged_from=3_rows
org_conxemar_sostenibilidad_spain_79114129,conxemar (sostenibilidad),Unknown,Spain,Vigo,interreg_mac,wave1 | wave2,EAPA_0143/2024,Social Ecological Impact Assessment for the Maritime Sector in the Atlantic Area,https://keep.eu/projects/31295/,,https://keep.eu/projects/31295/,,4.45,2021-2027 ongoing; knowledge-transfer signal; business-facing beneficiaries; N.a.; geo=5,Convert project outputs into reusable SME and entrepreneurship training journeys.,conxemar (sostenibilidad::Spain,merged_from=2_rows
org_instituto_para_el_crecimiento_sostenible_3ef40fba,Instituto para el Crecimiento Sostenible de la Empresa (Direction),Private Company,Spain,Vigo,interreg_mac,wave1 | wave2,EAPA_0143/2024,Social Ecological Impact Assessment for the Maritime Sector in the Atlantic Area,https://keep.eu/projects/31295/,,https://keep.eu/projects/31295/,,4.45,2021-2027 ongoing; knowledge-transfer signal; business-facing beneficiaries; N.a.; geo=5,Convert project outputs into reusable SME and entrepreneurship training journeys.,instituto para el crecimiento sostenible de la empresa (direction::Spain,merged_from=2_rows
org_associa_o_nonagon_parque_de_ci_ncia_e_te_3388645d,Associação NONAGON - Parque de Ciência e Tecnologia de S. Miguel (Projetos),Association,Portugal,Rosário - Lagoa,interreg_mac,wave1 | wave2,EAPA_0143/2024,Social Ecological Impact Assessment for the Maritime Sector in the Atlantic Area,https://keep.eu/projects/31295/,,https://keep.eu/projects/31295/,,4.45,2021-2027 ongoing; knowledge-transfer signal; business-facing beneficiaries; N.a.; geo=5,Convert project outputs into reusable SME and entrepreneurship training journeys.,associação nonagon - parque de ciência e tecnologia de s. miguel (projetos::Portugal,merged_from=2_rows
