organization_id,organization_name,organization_type,partner_country,website_url,contact_url,email_status,lead_readiness,fetch_status,notes,source_project_urls,score
org_sapienza_university_of_rome_italy_unirom_13ec2610,Sapienza University of Rome,University / Research,Italy,http://www.uniroma1.it,http://www.uniroma1.it,email_not_found_form_only,not_outreach_ready,ok,page_fetched_form_only | candidate_source=own_contact_url,https://keep.eu/projects/33268/,4.9
org_universidad_de_huelva_spain_uhu_es_b672c674,Universidad de Huelva,Unknown,Spain,http://www.uhu.es,http://www.uhu.es,email_not_found_form_only,not_outreach_ready,ok,page_fetched_form_only | candidate_source=own_contact_url,https://keep.eu/projects/33271/,4.65
org_associaci_fons_catal_de_cooperaci_al_des_bb4836cc,Associació Fons Català de Cooperació al Desenvolupament,Association,Spain,https://www.fonscatala.org,https://www.fonscatala.org/en,email_not_found_no_contact_channel,not_outreach_ready,ok,page_fetched but no email found,https://keep.eu/projects/33267/,4.65
org_tunisia_cbs_rnrt_tn_2b553b27,مركز البيوتكنولوجيا بصفاقس,Unknown,Tunisia,http://www.cbs.rnrt.tn,http://www.cbs.rnrt.tn,email_not_found_manual_review,manual_review_needed,http_error_404,http_error_404,https://keep.eu/projects/33271/,4.35
org_lebanon_biatcenter_org_52dd71e2,جمعية تطوير الأعمال في طرابلس,Unknown,Lebanon,http://www.biatcenter.org,http://www.biatcenter.org,email_not_found_form_only,not_outreach_ready,ok,page_fetched_form_only | candidate_source=own_contact_url,https://keep.eu/projects/33271/ | https://keep.eu/projects/33252/,4.35
org_lebanon_fab4757c,الجامعة اللبنانية,Unknown,Lebanon,,https://keep.eu/projects/33271/,email_not_found_no_website,not_outreach_ready,skipped_no_own_url,,https://keep.eu/projects/33271/,4.35
org_greece_uoa_gr_910a5e49,Εθνικό και Καποδιστριακό Πανεπιστήμιο Αθηνών,Unknown,Greece,http://www.uoa.gr,http://www.uoa.gr,email_not_found_form_only,not_outreach_ready,ok,page_fetched_form_only | candidate_source=own_contact_url,https://keep.eu/projects/33271/,4.35
org_universit_degli_studi_di_cagliari_italy_f28a689a,Università degli Studi di Cagliari,University / Research,Italy,http://www.unica.it,http://www.unica.it,email_not_found_no_contact_channel,not_outreach_ready,ok,page_fetched but no email found,https://keep.eu/projects/33270/ | https://keep.eu/projects/33216/,4.35
org_palestine_najah_edu_7a827e7f,جامعة النجاح الوطنية,Unknown,Palestine,http://www.najah.edu,http://www.najah.edu,email_not_found_form_only,not_outreach_ready,ok,page_fetched_form_only | candidate_source=own_contact_url,https://keep.eu/projects/33267/ | https://keep.eu/projects/33268/,4.35
org_centre_tunisien_pour_l_entrepreneuriat_s_1b06eb1d,Centre Tunisien pour l'Entrepreneuriat Social,Unknown,Tunisia,https://tcse.network,https://tcse.network/,email_not_found_form_only,not_outreach_ready,ok,page_fetched_form_only | candidate_source=own_contact_url,https://keep.eu/projects/33267/,4.35
org_greece_kmop_org_cd8c0111,ΚΕΝΤΡΟ ΜΕΡΙΜΝΑΣ ΟΙΚΟΓΕΝΕΙΑΣ ΚΑΙ ΠΑΙΔΙΟΥ,Unknown,Greece,http://www.kmop.org,http://www.kmop.org,email_not_found_form_only,not_outreach_ready,ok,page_fetched_form_only | candidate_source=own_contact_url,https://keep.eu/projects/33267/,4.35
org_palestine_jericho_plo_ps_6d64cdb5,محافظة اريحا والأغوار,Regional public authority,Palestine,http://www.jericho.plo.ps,http://www.jericho.plo.ps,email_not_found_manual_review,manual_review_needed,url_error,url_error,https://keep.eu/projects/33270/,4.3
org_greece_uom_gr_e5ec92e8,Πανεπιστήμιο Μακεδονίας,Unknown,Greece,http://www.uom.gr,http://www.uom.gr,email_not_found_form_only,not_outreach_ready,ok,page_fetched_form_only | candidate_source=own_contact_url,https://keep.eu/projects/33269/,4.25
org_lebanon_ldn_lb_org_38481d7b,الشبكة اللبنانية للتنمية,Unknown,Lebanon,http://www.ldn-lb.org,http://www.ldn-lb.org,email_not_found_form_only,not_outreach_ready,ok,page_fetched_form_only | candidate_source=own_contact_url,https://keep.eu/projects/33269/,4.25
