organization_id,organization_name,organization_type,partner_country,website_url,contact_url,validated_website_url,contact_name,contact_role,email,email_source_url,source_project_urls,score,suggested_angle,contact_quality_tier,ready_reason
org_la_palma_research_centre_la_palma_office_8d4d3eae,La Palma Research Centre (La Palma Office),Unknown,Spain,,https://keep.eu/projects/31295/,,,,js@atlanticarea.eu,https://www.atlanticarea.eu/discover-our-projects/approved-projects/impact4mar,https://keep.eu/projects/31295/,4.8,Convert project outputs into reusable SME and entrepreneurship training journeys.,official_programme_proxy_email,programme_site_published_contact
org_universit_degli_studi_di_bari_aldo_moro_598fc36c,Università degli Studi di Bari Aldo Moro,University / Research,Italy,https://www.uniba.it,https://www.uniba.it/it,https://www.uniba.it,,,urp@uniba.it,https://www.uniba.it/it,https://keep.eu/projects/33271/,4.65,Convert project outputs into reusable SME and entrepreneurship training journeys.,direct_partner_email,email_on_official_partner_domain
org_aqualgae_sociedade_limitada_research_and_554b42f4,Aqualgae Sociedade Limitada (Research and Development),Unknown,Portugal,,https://keep.eu/projects/31296/,,,,js@atlanticarea.eu,https://www.atlanticarea.eu/discover-our-projects/approved-projects/smacc,https://keep.eu/projects/31296/,4.6,Convert project outputs into reusable SME and entrepreneurship training journeys.,official_programme_proxy_email,programme_site_published_contact
org_universitat_polit_cnica_de_val_ncia_spai_f5f5951e,Universitat Politècnica de València,University / Research,Spain,https://irp.webs.upv.es,https://irp.webs.upv.es/,https://irp.webs.upv.es,,,irp@irp.upv.es,https://irp.webs.upv.es/,https://keep.eu/projects/33268/,4.55,"Turn training, workshops and capacity-building assets into scalable learning paths.",official_external_published_email,external_email_published_on_official_site
org_fondazione_meno_ets_italy_italy_fondazio_bc8b89dc,Fondazione MeNO ETS – Italy,Foundation / NGO,Italy,https://www.fondazionemeno.org,https://www.fondazionemeno.org/,https://www.fondazionemeno.org,,,info@fondazionemeno.org,https://www.fondazionemeno.org/,https://keep.eu/projects/33268/,4.55,"Turn training, workshops and capacity-building assets into scalable learning paths.",official_generic_partner_email,generic_email_on_official_site
org_technological_university_of_the_shannon_ee38d0e5,Technological University of the Shannon: Midlands Midwest (Research Development and Innovation ),University / Research,Ireland,,https://keep.eu/projects/31295/,,,,js@atlanticarea.eu,https://www.atlanticarea.eu/discover-our-projects/approved-projects/impact4mar,https://keep.eu/projects/31295/,4.5,Convert project outputs into reusable SME and entrepreneurship training journeys.,official_programme_proxy_email,programme_site_published_contact
org_south_east_technological_university_riko_8fce285a,South East Technological University (RIKON Research Centre - SETU),University / Research,Ireland,,https://keep.eu/projects/31295/,,,,js@atlanticarea.eu,https://www.atlanticarea.eu/discover-our-projects/approved-projects/sealabhaus,https://keep.eu/projects/31295/ | https://keep.eu/projects/31270/,4.5,Convert project outputs into reusable SME and entrepreneurship training journeys.,official_programme_proxy_email,programme_site_published_contact
org_dire_o_regional_de_pol_ticas_mar_timas_d_e07693b6,Direção Regional de Políticas Marítimas (Direção de Serviços da Biodiversidade e Política do Mar),Regional Authority,Portugal,,https://keep.eu/projects/31295/,,,,js@atlanticarea.eu,https://www.atlanticarea.eu/discover-our-projects/approved-projects/atlantic-whale-deal,https://keep.eu/projects/31295/ | https://keep.eu/projects/31249/,4.45,Convert project outputs into reusable SME and entrepreneurship training journeys.,official_programme_proxy_email,programme_site_published_contact
org_comunidade_intermunicipal_do_oeste_secre_b99b506b,Comunidade Intermunicipal do Oeste (Secretariado Executivo),Unknown,Portugal,,https://keep.eu/projects/31295/,,,,js@atlanticarea.eu,https://www.atlanticarea.eu/discover-our-projects/approved-projects/isurfatlantic,https://keep.eu/projects/31295/ | https://keep.eu/projects/31280/,4.45,Convert project outputs into reusable SME and entrepreneurship training journeys.,official_programme_proxy_email,programme_site_published_contact
org_conxemar_sostenibilidad_spain_79114129,conxemar (sostenibilidad),Unknown,Spain,,https://keep.eu/projects/31295/,,,,js@atlanticarea.eu,https://www.atlanticarea.eu/discover-our-projects/approved-projects/impact4mar,https://keep.eu/projects/31295/,4.45,Convert project outputs into reusable SME and entrepreneurship training journeys.,official_programme_proxy_email,programme_site_published_contact
