organization_name,organization_type,island,municipality,department_area,website,email_main,phone_main,source_url,source_file,source_type,icp_segment,notes,quality_flags,needs_manual_review,duplicate_possible
Ayuntamiento de Adeje,ayuntamiento,Tenerife,Adeje,Igualdad,http://www.adeje.es/,igualdad@adeje.es,922 756 244,https://www.adeje.es/igualdad/servicios,04_outputs/skilland-ia-mujeres/ayuntamientos_contactos_igualdad_social/directorio_ayuntamientos_igualdad_social.csv,official_website,Ayuntamiento - Igualdad,Merged from 1 contact rows. Unique emails retained: 1. Manual review flagged on 1 contact rows.,generic_department_email;source_confidence_medium;unknown_contact_name,true,false
Ayuntamiento de Agaete,ayuntamiento,Gran Canaria,Agaete,Igualdad,http://www.aytoagaete.es,programamujeragaete@agaete.es,928 898 002 ext. 301 y 302,https://agaete.es/concejal/dona-maria-del-carmen-rosario-godoy,04_outputs/skilland-ia-mujeres/ayuntamientos_contactos_igualdad_social/directorio_ayuntamientos_igualdad_social.csv,official_website,Ayuntamiento - Igualdad,Merged from 2 contact rows. Unique emails retained: 2.,generic_department_email;multiple_emails_in_source,false,false
Ayuntamiento de Aguimes,ayuntamiento,Gran Canaria,Aguimes,Igualdad / Politicas Sociales,http://www.aguimes.es/,centro.igualdad@aguimes.es,928 789 980 ext. 631 | 632 | 634 | 635,https://aguimes.es/eva-lopez/,04_outputs/skilland-ia-mujeres/ayuntamientos_contactos_igualdad_social/directorio_ayuntamientos_igualdad_social.csv,official_website,Ayuntamiento - Igualdad,Merged from 1 contact rows. Unique emails retained: 1.,generic_department_email;review_required_from_source_note;source_confidence_medium,false,false
Ayuntamiento de Agulo,ayuntamiento,La Gomera,Agulo,Politicas Sociales,http://www.agulo.org/,servicessociales@aytoagulo.com,922146000,https://agulo.org/para-la-gente/asuntos-sociales/,04_outputs/skilland-ia-mujeres/ayuntamientos_contactos_igualdad_social/directorio_ayuntamientos_igualdad_social.csv,official_website,Entidad Publica - Igualdad/Empleo,Merged from 2 contact rows. Unique emails retained: 2. Manual review flagged on 2 contact rows.,generic_department_email;generic_institutional_email;multiple_emails_in_source;review_required_from_source_note;source_confidence_medium;unknown_contact_name,true,false
Ayuntamiento de Alajero,ayuntamiento,La Gomera,Alajero,Mujer / Politicas Sociales,http://www.ayuntamientoalajero.es/,concejaliaserviciossociales@ayuntamientoalajero.es,922 89 51 55 | 922 89 53 76,http://www.ayuntamientoalajero.es/index.php/el-ayto/servicios-sociales,04_outputs/skilland-ia-mujeres/ayuntamientos_contactos_igualdad_social/directorio_ayuntamientos_igualdad_social.csv,official_website,Ayuntamiento - Igualdad,Merged from 2 contact rows. Unique emails retained: 2. Manual review flagged on 1 contact rows.,generic_department_email;generic_institutional_email;multiple_emails_in_source;review_required_from_source_note;source_confidence_medium,true,false
Ayuntamiento de Antigua,ayuntamiento,Fuerteventura,Antigua,Politicas Sociales / Educacion,http://www.ayto-antigua.es,services.sociales@ayto-antigua.es,928 878 004,https://www.ayto-antigua.es/America-Soto-Betancor.6036.0.html,04_outputs/skilland-ia-mujeres/ayuntamientos_contactos_igualdad_social/directorio_ayuntamientos_igualdad_social.csv,official_website,Entidad Publica - Igualdad/Empleo,Merged from 1 contact rows. Unique emails retained: 1.,generic_department_email;review_required_from_source_note;source_confidence_medium,false,false
Ayuntamiento de Arona,ayuntamiento,Tenerife,Arona,Politicas Sociales,http://www.arona.org/,portalweb@arona.org,+34 922 761 600,https://sede.arona.org/Areas-Municipales/Servicios-Sociales,04_outputs/skilland-ia-mujeres/ayuntamientos_contactos_igualdad_social/directorio_ayuntamientos_igualdad_social.csv,official_website,Entidad Publica - Igualdad/Empleo,Merged from 1 contact rows. Unique emails retained: 1. Manual review flagged on 1 contact rows.,generic_institutional_email;review_required_from_source_note;source_confidence_medium,true,false
Ayuntamiento de Arrecife,ayuntamiento,Lanzarote,Arrecife,Igualdad / Politicas Sociales,http://www.arrecife.es,bienestarsocial@arrecife.es,928807154,https://www.arrecife.es/node/2346,04_outputs/skilland-ia-mujeres/ayuntamientos_contactos_igualdad_social/directorio_ayuntamientos_igualdad_social.csv,official_website,Ayuntamiento - Igualdad,Merged from 2 contact rows. Unique emails retained: 2. Manual review flagged on 1 contact rows.,generic_department_email;generic_institutional_email;multiple_emails_in_source,true,false
Ayuntamiento de Artenara,ayuntamiento,Gran Canaria,Artenara,Igualdad / Mujer / Politicas Sociales,http://www.artenara.es/,informacion@artenara.es,928 666 117,https://www.artenara.es/portal-ciudadano/grupo-de-gobierno/,04_outputs/skilland-ia-mujeres/ayuntamientos_contactos_igualdad_social/directorio_ayuntamientos_igualdad_social.csv,official_website,Ayuntamiento - Igualdad,Merged from 1 contact rows. Unique emails retained: 1. Manual review flagged on 1 contact rows.,generic_institutional_email;source_confidence_medium,true,false
Ayuntamiento de Arucas,ayuntamiento,Gran Canaria,Arucas,Desarrollo Local,http://www.arucas.org/,serviciossociales@arucas.org,928 600 350 | 928 600 411,https://www.arucas.org/modules.php?file=ver_gen&id=TkRrek1RPT0%3D&mod=portal&t=3,04_outputs/skilland-ia-mujeres/ayuntamientos_contactos_igualdad_social/directorio_ayuntamientos_igualdad_social.csv,official_website,Ayuntamiento - Desarrollo Local,Merged from 2 contact rows. Unique emails retained: 2.,generic_department_email;multiple_emails_in_source,false,false
