company_name,source_lane,source_name,source_url,query_cluster,geography,contact_channel_type,email_or_channel,website_url,services,icp_signals,source_quality_score,contactability_score,dedupe_key,source_query,source_rank,contact_page_url,company_phone,postal_address,role_hint,icp_score,evidence_snippet,scrapling_fetcher,extracted_at_utc,notes
SANTIAGO GRANADO ASESORES SL,specialized_directory,AAFC - Despachos Profesionales,https://asesoresfiscalesdecanarias.org/servicios/despachos-profesionales/,sd_colegial_sectorial,las palmas de gran canaria|gran canaria,email,laurasantiago@bsvega.com,Unknown,"fiscal, contable, laboral","direct_email, capital_insular",95,85,santiago-granado-asesores|las-palmas-de-gran-canaria-gran-canaria|email|laurasantiago-bsvega-com,"site:org ""asesores fiscales"" Canarias asociacion",46,Unknown,676469318,Unknown,despacho,85,676469318 | laurasantiago@bsvega.com,Fetcher,2026-03-07T23:46:09+00:00,aafc_directory_pilot
"PAYA Y ASOCIADOS CONSULTORES, S.L.U.",specialized_directory,AAFC - Despachos Profesionales,https://asesoresfiscalesdecanarias.org/servicios/despachos-profesionales/,sd_colegial_sectorial,santa cruz de tenerife|tenerife,email,paya@payaconsultores.com,Unknown,"fiscal, contable, laboral","direct_email, capital_insular",95,85,paya-y-asociados-consultores-u|santa-cruz-de-tenerife-tenerife|email|paya-payaconsultores-com,"site:org ""asesores fiscales"" Canarias asociacion",8,Unknown,922235700,Unknown,despacho,85,922235700 | paya@payaconsultores.com,Fetcher,2026-03-07T23:46:09+00:00,aafc_directory_pilot
MABRIBA SL,specialized_directory,AAFC - Despachos Profesionales,https://asesoresfiscalesdecanarias.org/servicios/despachos-profesionales/,sd_colegial_sectorial,las palmas de gran canaria|gran canaria,email,informacion@mabriba.com,Unknown,"fiscal, contable, laboral","direct_email, capital_insular",95,85,mabriba|las-palmas-de-gran-canaria-gran-canaria|email|informacion-mabriba-com,"site:org ""asesores fiscales"" Canarias asociacion",5,Unknown,928226803,Unknown,despacho,85,928226803 | INFORMACION@MABRIBA.COM,Fetcher,2026-03-07T23:46:09+00:00,aafc_directory_pilot
GALLEGO Y ASOCIADOS C.E.SLP,specialized_directory,AAFC - Despachos Profesionales,https://asesoresfiscalesdecanarias.org/servicios/despachos-profesionales/,sd_colegial_sectorial,las palmas de gran canaria|gran canaria,email,amparo@gallegoyasociados.com,Unknown,"fiscal, contable, laboral","direct_email, capital_insular",95,85,gallego-y-asociados-c-e|las-palmas-de-gran-canaria-gran-canaria|email|amparo-gallegoyasociados-com,"site:org ""asesores fiscales"" Canarias asociacion",31,Unknown,928266609,Unknown,despacho,85,928266609 | amparo@gallegoyasociados.com,Fetcher,2026-03-07T23:46:09+00:00,aafc_directory_pilot
"ASESORIA CANARIA GONZALEZ, S.L.",specialized_directory,AAFC - Despachos Profesionales,https://asesoresfiscalesdecanarias.org/servicios/despachos-profesionales/,sd_colegial_sectorial,las palmas de gran canaria|gran canaria,email,gonzalezasesoria@canariasgonzalez.com,Unknown,"fiscal, contable, laboral","direct_email, capital_insular",95,85,asesoria-canaria-gonzalez|las-palmas-de-gran-canaria-gran-canaria|email|gonzalezasesoria-canariasgonzalez-com,"site:org ""asesores fiscales"" Canarias asociacion",37,Unknown,928432120,Unknown,despacho,85,928432120 | gonzalezasesoria@canariasgonzalez.com,Fetcher,2026-03-07T23:46:09+00:00,aafc_directory_pilot
SOLVE IT SPAIN SCP,specialized_directory,AAFC - Despachos Profesionales,https://asesoresfiscalesdecanarias.org/servicios/despachos-profesionales/,sd_colegial_sectorial,san bartolome de tirajana|gran canaria,email,welcome@solveitspain.com,Unknown,"fiscal, contable, laboral",direct_email,95,85,solve-it-spain|san-bartolome-de-tirajana-gran-canaria|email|welcome-solveitspain-com,"site:org ""asesores fiscales"" Canarias asociacion",50,Unknown,810101177,Unknown,despacho,80,810 10 11 77 | welcome@solveitspain.com,Fetcher,2026-03-07T23:46:09+00:00,aafc_directory_pilot
REAL ASESORES Y ABOGADOS,specialized_directory,AAFC - Despachos Profesionales,https://asesoresfiscalesdecanarias.org/servicios/despachos-profesionales/,sd_colegial_sectorial,la orotava|tenerife,email,real@realasesoresyabogados.com,Unknown,"fiscal, contable, laboral",direct_email,95,85,real-asesores-y-abogados|la-orotava-tenerife|email|real-realasesoresyabogados-com,"site:org ""asesores fiscales"" Canarias asociacion",56,Unknown,922335628,Unknown,despacho,80,922335628 | real@realasesoresyabogados.com,Fetcher,2026-03-07T23:46:09+00:00,aafc_directory_pilot
GOYA ASESORES,specialized_directory,AAFC - Despachos Profesionales,https://asesoresfiscalesdecanarias.org/servicios/despachos-profesionales/,sd_colegial_sectorial,arona|tenerife,email,asesores@goyaasesores.com,Unknown,"fiscal, contable, laboral",direct_email,95,85,goya-asesores|arona-tenerife|email|asesores-goyaasesores-com,"site:org ""asesores fiscales"" Canarias asociacion",55,Unknown,628656993,Unknown,despacho,80,628656993 | asesores@goyaasesores.com,Fetcher,2026-03-07T23:46:09+00:00,aafc_directory_pilot
"CONFIJULAB, S.L.",specialized_directory,AAFC - Despachos Profesionales,https://asesoresfiscalesdecanarias.org/servicios/despachos-profesionales/,sd_colegial_sectorial,adeje|tenerife,email,informacion@confijulab.com,Unknown,"fiscal, contable, laboral",direct_email,95,85,confijulab|adeje-tenerife|email|informacion-confijulab-com,"site:org ""asesores fiscales"" Canarias asociacion",11,Unknown,922787069,Unknown,despacho,80,922787069 | informacion@confijulab.com,Fetcher,2026-03-07T23:46:09+00:00,aafc_directory_pilot
ASESORÍA LOMBARDI,specialized_directory,AAFC - Despachos Profesionales,https://asesoresfiscalesdecanarias.org/servicios/despachos-profesionales/,sd_colegial_sectorial,arona|tenerife,email,juridico@asesorialombardi.es,Unknown,"fiscal, contable, laboral",direct_email,95,85,asesoria-lombardi|arona-tenerife|email|juridico-asesorialombardi-es,"site:org ""asesores fiscales"" Canarias asociacion",57,Unknown,34643851099,Unknown,despacho,80,+34643851099 | juridico@asesorialombardi.es,Fetcher,2026-03-07T23:46:09+00:00,aafc_directory_pilot
