company_name,source_lane,source_name,source_url,query_cluster,geography,contact_channel_type,email_or_channel,website_url,services,icp_signals,source_quality_score,contactability_score,dedupe_key,source_query,source_rank,contact_page_url,company_phone,postal_address,role_hint,icp_score,evidence_snippet,scrapling_fetcher,extracted_at_utc,notes
Weeks & Co,google_basic,google_basic_live_serp,https://weeksasesores.com/,gb_core_contact,santa cruz de tenerife|tenerife,email,administración@weeksasesores.com,https://weeksasesores.com,"fiscal, contable, laboral, igic, renta","direct_email, capital_insular, igic",95,95,weeks-and-co|santa-cruz-de-tenerife-tenerife|email|administracion-weeksasesores-com,"""asesoria fiscal contable"" Canarias email",6,https://weeksasesores.com/en/contact-canary-islands-legal-advisors/,4420793420882980,Unknown,despacho,100,serp=Home: Asesoría Fiscal | Laboral | Contable y Digital en La ... weeksasesores.com https://weeksasesor | channel=administración@weeksasesores.com,StealthySession + Fetcher,2026-03-08T00:01:24+00:00,"google_live_discovery, contact_path_followup, serp_landing_not_root, curated_google_basic_v1"
Tengo Asesor,google_basic,google_basic_live_serp,https://tengoasesor.com/contable/,gb_core_contact,santa cruz de tenerife|tenerife,email,taco@tengoasesor.com,https://tengoasesor.com,"fiscal, contable, laboral, pymes, sociedades, renta, mercantil, subvenciones","direct_email, capital_insular, pymes, sociedades",95,95,tengo-asesor|santa-cruz-de-tenerife-tenerife|email|taco-tengoasesor-com,"""asesoria contable"" ""Santa Cruz de Tenerife"" ""contacto""",6,Unknown,Unknown,Unknown,despacho,100,serp=Asesoría Contable en Tenerife Tengo Asesor https://tengoasesor.com › contable | channel=taco@tengoasesor.com,StealthySession + Fetcher,2026-03-08T00:00:06+00:00,"google_live_discovery, contact_path_followup, serp_landing_not_root, curated_google_basic_v1"
Macrosuma asesores,google_basic,google_basic_live_serp,https://www.macrosuma.es/otros-servicios-asesoria/asesoria-pymes-las-palmas,gb_service_pain,las palmas de gran canaria|gran canaria,email,asesores@macrosuma.es,https://macrosuma.es,"fiscal, contable, laboral, autonomos, pymes, sociedades, renta, mercantil","direct_email, capital_insular, autonomos, pymes, sociedades",95,95,macrosuma-asesores|las-palmas-de-gran-canaria-gran-canaria|email|asesores-macrosuma-es,"""asesoria pymes"" ""Las Palmas"" inurl:servicios",1,https://www.macrosuma.es/contacto,Unknown,Unknown,despacho,100,serp=Asesoría Pymes Las Palmas - Macrosuma asesores macrosuma.es https://www.macrosuma.es › asesoria-pyme | channel=asesores@macrosuma.es,StealthySession + Fetcher,2026-03-08T00:02:01+00:00,"google_live_discovery, contact_path_followup, serp_landing_not_root, curated_google_basic_v1"
Asesoría Santa Cruz de Tenerife Tax,google_basic,google_basic_live_serp,https://www.tax.es/es/oficinas/islas-canarias/asesoria-santa-cruz-de-tenerife-tax,gb_service_pain,santa cruz de tenerife|tenerife,email,vic@tax.es,https://tax.es,"fiscal, contable, laboral, autonomos, renta, mercantil, subvenciones","direct_email, capital_insular, autonomos",95,95,asesoria-santa-cruz-de-tenerife-tax|santa-cruz-de-tenerife-tenerife|email|vic-tax-es,"""sociedades"" ""asesoria fiscal"" Canarias email",4,https://www.tax.es/es/contacto/asesoramiento-empresa-legal-fiscal-laboral,Unknown,Unknown,despacho,100,serp=Unknown | channel=vic@tax.es,StealthySession + Fetcher,2026-03-08T00:02:46+00:00,"google_live_discovery, contact_path_followup, serp_landing_not_root, curated_google_basic_v1"
Armas y Asociados,google_basic,google_basic_live_serp,https://armas-asociados.com/servicios/asesoria-fiscal,gb_core_contact,las palmas de gran canaria|gran canaria,email,manuel@armas-asociados.com,https://armas-asociados.com,"fiscal, contable, laboral, autonomos, pymes","direct_email, capital_insular, autonomos, pymes",95,95,armas-y-asociados|las-palmas-de-gran-canaria-gran-canaria|email|manuel-armas-asociados-com,"""asesoria fiscal contable"" Canarias email",3,https://armas-asociados.com/contacto,Unknown,Unknown,despacho,100,serp=armas-asociados.com | channel=manuel@armas-asociados.com,StealthySession + Fetcher,2026-03-08T00:01:03+00:00,"google_live_discovery, contact_path_followup, serp_landing_not_root, curated_google_basic_v1"
A.T. ASESORES TENERIFE,google_basic,google_basic_live_serp,https://www.atasesores.net/,gb_core_contact,santa cruz de tenerife|tenerife,email,atasesores@atasesores.net,https://atasesores.net,"fiscal, contable, laboral, pymes, sociedades","direct_email, capital_insular, pymes, sociedades",95,95,a-t-asesores-tenerife|santa-cruz-de-tenerife-tenerife|email|atasesores-atasesores-net,"""asesoria contable"" ""Santa Cruz de Tenerife"" ""contacto""",8,https://www.atasesores.net/solicitud-de-contacto,922245776,Unknown,despacho,100,serp=A.T. ASESORES TENERIFE A.T. ASESORES TENERIFE https://www.atasesores.net | channel=atasesores@atasesores.net,StealthySession + Fetcher,2026-03-08T00:00:24+00:00,"google_live_discovery, contact_path_followup, serp_landing_not_root, curated_google_basic_v1"
SANTIAGO GRANADO ASESORES SL,specialized_directory,AAFC - Despachos Profesionales,https://asesoresfiscalesdecanarias.org/servicios/despachos-profesionales/,sd_colegial_sectorial,las palmas de gran canaria|gran canaria,email,laurasantiago@bsvega.com,Unknown,"fiscal, contable, laboral","direct_email, capital_insular",95,85,santiago-granado-asesores|las-palmas-de-gran-canaria-gran-canaria|email|laurasantiago-bsvega-com,"site:org ""asesores fiscales"" Canarias asociacion",46,Unknown,676469318,Unknown,despacho,85,676469318 | laurasantiago@bsvega.com,Fetcher,2026-03-07T23:46:09+00:00,aafc_directory_pilot
"PAYA Y ASOCIADOS CONSULTORES, S.L.U.",specialized_directory,AAFC - Despachos Profesionales,https://asesoresfiscalesdecanarias.org/servicios/despachos-profesionales/,sd_colegial_sectorial,santa cruz de tenerife|tenerife,email,paya@payaconsultores.com,Unknown,"fiscal, contable, laboral","direct_email, capital_insular",95,85,paya-y-asociados-consultores-u|santa-cruz-de-tenerife-tenerife|email|paya-payaconsultores-com,"site:org ""asesores fiscales"" Canarias asociacion",8,Unknown,922235700,Unknown,despacho,85,922235700 | paya@payaconsultores.com,Fetcher,2026-03-07T23:46:09+00:00,aafc_directory_pilot
MABRIBA SL,specialized_directory,AAFC - Despachos Profesionales,https://asesoresfiscalesdecanarias.org/servicios/despachos-profesionales/,sd_colegial_sectorial,las palmas de gran canaria|gran canaria,email,informacion@mabriba.com,Unknown,"fiscal, contable, laboral","direct_email, capital_insular",95,85,mabriba|las-palmas-de-gran-canaria-gran-canaria|email|informacion-mabriba-com,"site:org ""asesores fiscales"" Canarias asociacion",5,Unknown,928226803,Unknown,despacho,85,928226803 | INFORMACION@MABRIBA.COM,Fetcher,2026-03-07T23:46:09+00:00,aafc_directory_pilot
GALLEGO Y ASOCIADOS C.E.SLP,specialized_directory,AAFC - Despachos Profesionales,https://asesoresfiscalesdecanarias.org/servicios/despachos-profesionales/,sd_colegial_sectorial,las palmas de gran canaria|gran canaria,email,amparo@gallegoyasociados.com,Unknown,"fiscal, contable, laboral","direct_email, capital_insular",95,85,gallego-y-asociados-c-e|las-palmas-de-gran-canaria-gran-canaria|email|amparo-gallegoyasociados-com,"site:org ""asesores fiscales"" Canarias asociacion",31,Unknown,928266609,Unknown,despacho,85,928266609 | amparo@gallegoyasociados.com,Fetcher,2026-03-07T23:46:09+00:00,aafc_directory_pilot
Carlos Mantilla,google_basic,google_basic_live_serp,https://carlosmantillaasociados.es/servicios-asesoria-empresas-vigo-madrid-las-palmas,gb_service_pain,multiple|canarias,email,contabilidad@mantillaasociados.com,https://carlosmantillaasociados.es,"fiscal, contable, laboral, pymes, sociedades, mercantil, subvenciones","direct_email, pymes, sociedades",95,85,carlos-mantilla|multiple-canarias|email|contabilidad-mantillaasociados-com,"""asesoria pymes"" ""Las Palmas"" inurl:servicios",2,Unknown,Unknown,Unknown,despacho,85,"serp=Servicios | Asesoría de empresas en Vigo, Madrid y Las Palmas carlosmantillaasociados.es https://car | channel=contabilidad@mantillaasociados.com",StealthySession + Fetcher,2026-03-08T00:02:03+00:00,"google_live_discovery, serp_landing_not_root, curated_google_basic_v1"
"ASESORIA CANARIA GONZALEZ, S.L.",specialized_directory,AAFC - Despachos Profesionales,https://asesoresfiscalesdecanarias.org/servicios/despachos-profesionales/,sd_colegial_sectorial,las palmas de gran canaria|gran canaria,email,gonzalezasesoria@canariasgonzalez.com,Unknown,"fiscal, contable, laboral","direct_email, capital_insular",95,85,asesoria-canaria-gonzalez|las-palmas-de-gran-canaria-gran-canaria|email|gonzalezasesoria-canariasgonzalez-com,"site:org ""asesores fiscales"" Canarias asociacion",37,Unknown,928432120,Unknown,despacho,85,928432120 | gonzalezasesoria@canariasgonzalez.com,Fetcher,2026-03-07T23:46:09+00:00,aafc_directory_pilot
SOLVE IT SPAIN SCP,specialized_directory,AAFC - Despachos Profesionales,https://asesoresfiscalesdecanarias.org/servicios/despachos-profesionales/,sd_colegial_sectorial,san bartolome de tirajana|gran canaria,email,welcome@solveitspain.com,Unknown,"fiscal, contable, laboral",direct_email,95,85,solve-it-spain|san-bartolome-de-tirajana-gran-canaria|email|welcome-solveitspain-com,"site:org ""asesores fiscales"" Canarias asociacion",50,Unknown,810101177,Unknown,despacho,80,810 10 11 77 | welcome@solveitspain.com,Fetcher,2026-03-07T23:46:09+00:00,aafc_directory_pilot
REAL ASESORES Y ABOGADOS,specialized_directory,AAFC - Despachos Profesionales,https://asesoresfiscalesdecanarias.org/servicios/despachos-profesionales/,sd_colegial_sectorial,la orotava|tenerife,email,real@realasesoresyabogados.com,Unknown,"fiscal, contable, laboral",direct_email,95,85,real-asesores-y-abogados|la-orotava-tenerife|email|real-realasesoresyabogados-com,"site:org ""asesores fiscales"" Canarias asociacion",56,Unknown,922335628,Unknown,despacho,80,922335628 | real@realasesoresyabogados.com,Fetcher,2026-03-07T23:46:09+00:00,aafc_directory_pilot
GOYA ASESORES,specialized_directory,AAFC - Despachos Profesionales,https://asesoresfiscalesdecanarias.org/servicios/despachos-profesionales/,sd_colegial_sectorial,arona|tenerife,email,asesores@goyaasesores.com,Unknown,"fiscal, contable, laboral",direct_email,95,85,goya-asesores|arona-tenerife|email|asesores-goyaasesores-com,"site:org ""asesores fiscales"" Canarias asociacion",55,Unknown,628656993,Unknown,despacho,80,628656993 | asesores@goyaasesores.com,Fetcher,2026-03-07T23:46:09+00:00,aafc_directory_pilot
"CONFIJULAB, S.L.",specialized_directory,AAFC - Despachos Profesionales,https://asesoresfiscalesdecanarias.org/servicios/despachos-profesionales/,sd_colegial_sectorial,adeje|tenerife,email,informacion@confijulab.com,Unknown,"fiscal, contable, laboral",direct_email,95,85,confijulab|adeje-tenerife|email|informacion-confijulab-com,"site:org ""asesores fiscales"" Canarias asociacion",11,Unknown,922787069,Unknown,despacho,80,922787069 | informacion@confijulab.com,Fetcher,2026-03-07T23:46:09+00:00,aafc_directory_pilot
ASESORÍA LOMBARDI,specialized_directory,AAFC - Despachos Profesionales,https://asesoresfiscalesdecanarias.org/servicios/despachos-profesionales/,sd_colegial_sectorial,arona|tenerife,email,juridico@asesorialombardi.es,Unknown,"fiscal, contable, laboral",direct_email,95,85,asesoria-lombardi|arona-tenerife|email|juridico-asesorialombardi-es,"site:org ""asesores fiscales"" Canarias asociacion",57,Unknown,34643851099,Unknown,despacho,80,+34643851099 | juridico@asesorialombardi.es,Fetcher,2026-03-07T23:46:09+00:00,aafc_directory_pilot
ASESORÍA GONZÁLEZ VEGA SLPU,specialized_directory,AAFC - Despachos Profesionales,https://asesoresfiscalesdecanarias.org/servicios/despachos-profesionales/,sd_colegial_sectorial,ingenio|gran canaria,email,pepa@asesoriagonzalezvega.es,Unknown,"fiscal, contable, laboral",direct_email,95,85,asesoria-gonzalez-vega-slpu|ingenio-gran-canaria|email|pepa-asesoriagonzalezvega-es,"site:org ""asesores fiscales"" Canarias asociacion",49,Unknown,928785113,Unknown,despacho,80,928785113 | PEPA@ASESORIAGONZALEZVEGA.ES,Fetcher,2026-03-07T23:46:09+00:00,aafc_directory_pilot
