company_name,source_lane,source_name,source_url,query_cluster,geography,contact_channel_type,email_or_channel,website_url,services,icp_signals,source_quality_score,contactability_score,dedupe_key,source_query,source_rank,contact_page_url,company_phone,postal_address,role_hint,icp_score,evidence_snippet,scrapling_fetcher,extracted_at_utc,notes
Weeks & Co,google_basic,google_basic_live_serp,https://weeksasesores.com/,gb_core_contact,santa cruz de tenerife|tenerife,email,administraci%c3%b3n@weeksasesores.com,https://weeksasesores.com,"fiscal, contable, laboral, igic, renta","direct_email, capital_insular, igic",94,95,weeks-and-co|santa-cruz-de-tenerife-tenerife|email|administraci-c3-b3n-weeksasesores-com,"""asesoria fiscal contable"" Canarias email",6,https://weeksasesores.com/en/contact-canary-islands-legal-advisors/,4420793420882980,Unknown,despacho,100,serp=Home: Asesoría Fiscal | Laboral | Contable y Digital en La ... weeksasesores.com https://weeksasesor | channel=administraci%c3%b3n@weeksasesores.com,StealthySession + Fetcher,2026-03-08T00:01:24+00:00,"google_live_discovery, contact_path_followup, serp_landing_not_root"
Tengo Asesor,google_basic,google_basic_live_serp,https://tengoasesor.com/contable/,gb_core_contact,santa cruz de tenerife|tenerife,email,taco@tengoasesor.com,https://tengoasesor.com,"fiscal, contable, laboral, pymes, sociedades, renta, mercantil, subvenciones","direct_email, capital_insular, pymes, sociedades",94,95,tengo-asesor|santa-cruz-de-tenerife-tenerife|email|taco-tengoasesor-com,"""asesoria contable"" ""Santa Cruz de Tenerife"" ""contacto""",6,Unknown,Unknown,Unknown,despacho,100,serp=Asesoría Contable en Tenerife Tengo Asesor https://tengoasesor.com › contable | channel=taco@tengoasesor.com,StealthySession + Fetcher,2026-03-08T00:00:06+00:00,"google_live_discovery, contact_path_followup, serp_landing_not_root"
Macrosuma asesores,google_basic,google_basic_live_serp,https://www.macrosuma.es/otros-servicios-asesoria/asesoria-pymes-las-palmas,gb_service_pain,las palmas de gran canaria|gran canaria,email,asesores@macrosuma.es,https://macrosuma.es,"fiscal, contable, laboral, autonomos, pymes, sociedades, renta, mercantil","direct_email, capital_insular, autonomos, pymes, sociedades",94,95,macrosuma-asesores|las-palmas-de-gran-canaria-gran-canaria|email|asesores-macrosuma-es,"""asesoria pymes"" ""Las Palmas"" inurl:servicios",1,https://www.macrosuma.es/contacto,Unknown,Unknown,despacho,100,serp=Asesoría Pymes Las Palmas - Macrosuma asesores macrosuma.es https://www.macrosuma.es › asesoria-pyme | channel=asesores@macrosuma.es,StealthySession + Fetcher,2026-03-08T00:02:01+00:00,"google_live_discovery, contact_path_followup, serp_landing_not_root"
Asesoría Santa Cruz de Tenerife Tax,google_basic,google_basic_live_serp,https://www.tax.es/es/oficinas/islas-canarias/asesoria-santa-cruz-de-tenerife-tax,gb_service_pain,santa cruz de tenerife|tenerife,email,vic@tax.es,https://tax.es,"fiscal, contable, laboral, autonomos, renta, mercantil, subvenciones","direct_email, capital_insular, autonomos",94,95,asesoria-santa-cruz-de-tenerife-tax|santa-cruz-de-tenerife-tenerife|email|vic-tax-es,"""sociedades"" ""asesoria fiscal"" Canarias email",4,https://www.tax.es/es/contacto/asesoramiento-empresa-legal-fiscal-laboral,Unknown,Unknown,despacho,100,serp=Unknown | channel=vic@tax.es,StealthySession + Fetcher,2026-03-08T00:02:46+00:00,"google_live_discovery, contact_path_followup, serp_landing_not_root"
Armas y Asociados,google_basic,google_basic_live_serp,https://armas-asociados.com/servicios/asesoria-fiscal,gb_core_contact,las palmas de gran canaria|gran canaria,email,manuel@armas-asociados.com,https://armas-asociados.com,"fiscal, contable, laboral, autonomos, pymes","direct_email, capital_insular, autonomos, pymes",94,95,armas-y-asociados|las-palmas-de-gran-canaria-gran-canaria|email|manuel-armas-asociados-com,"""asesoria fiscal contable"" Canarias email",3,https://armas-asociados.com/contacto,Unknown,Unknown,despacho,100,serp=armas-asociados.com | channel=manuel@armas-asociados.com,StealthySession + Fetcher,2026-03-08T00:01:03+00:00,"google_live_discovery, contact_path_followup, serp_landing_not_root"
A.T. ASESORES TENERIFE,google_basic,google_basic_live_serp,https://www.atasesores.net/,gb_core_contact,santa cruz de tenerife|tenerife,email,atasesores@atasesores.net,https://atasesores.net,"fiscal, contable, laboral, pymes, sociedades","direct_email, capital_insular, pymes, sociedades",94,95,a-t-asesores-tenerife|santa-cruz-de-tenerife-tenerife|email|atasesores-atasesores-net,"""asesoria contable"" ""Santa Cruz de Tenerife"" ""contacto""",8,https://www.atasesores.net/solicitud-de-contacto,922245776,Unknown,despacho,100,serp=A.T. ASESORES TENERIFE A.T. ASESORES TENERIFE https://www.atasesores.net | channel=atasesores@atasesores.net,StealthySession + Fetcher,2026-03-08T00:00:24+00:00,"google_live_discovery, contact_path_followup, serp_landing_not_root"
Horario de Atención a la Ciudadanía,google_basic,google_basic_live_serp,https://www.laspalmasgc.es/es/ayuntamiento/horario-de-atencion/,gb_core_contact,las palmas de gran canaria|gran canaria,email,webmaster@laspalmasgc.es,https://laspalmasgc.es,"fiscal, laboral, pymes, sociedades, renta, subvenciones","direct_email, capital_insular, pymes, sociedades",94,95,horario-de-atencion-a-la-ciudadania|las-palmas-de-gran-canaria-gran-canaria|email|webmaster-laspalmasgc-es,"""gestoria"" ""Gran Canaria"" inurl:contacto",5,https://www.laspalmasgc.es/es/otras-secciones/contacto/,Unknown,Unknown,despacho,75,serp=Unknown | channel=webmaster@laspalmasgc.es,StealthySession + Fetcher,2026-03-08T00:00:37+00:00,"google_live_discovery, contact_path_followup, serp_landing_not_root"
Iberinform,google_basic,google_basic_live_serp,https://www.iberinform.es/empresa/1366303/herdomisan,gb_core_contact,santa cruz de tenerife|tenerife,email,clientes@iberinform.es,https://iberinform.es,"fiscal, sociedades, renta, mercantil","direct_email, capital_insular, sociedades",94,95,iberinform|santa-cruz-de-tenerife-tenerife|email|clientes-iberinform-es,"""gestoria"" ""Gran Canaria"" inurl:contacto",7,https://www.iberinform.es/iberinform/contacto,900213215,Unknown,despacho,65,"serp=HERDOMISAN SL: CIF, Dirección y Ventas Iberinform https://www.iberinform.es › empresa › herdomisan | channel=clientes@iberinform.es",StealthySession + Fetcher,2026-03-08T00:00:42+00:00,"google_live_discovery, contact_path_followup, serp_landing_not_root"
EINFORMA. Información de empresas,google_basic,google_basic_live_serp,https://www.einforma.com/informes-empresas/PALMAS/Palmas-De-Gran-Canaria--Las-/Empresas-46.html,gb_core_contact,unknown|gran canaria,email,clientes@einforma.com,https://einforma.com,"laboral, autonomos, pymes, renta, mercantil, subvenciones","direct_email, autonomos, pymes",94,95,einforma-informacion-de-empresas|unknown-gran-canaria|email|clientes-einforma-com,"""gestoria"" ""Gran Canaria"" inurl:contacto",1,Unknown,34900103020,Unknown,despacho,45,serp=Unknown | channel=clientes@einforma.com,StealthySession + Fetcher,2026-03-08T00:00:26+00:00,"google_live_discovery, serp_landing_not_root"
Carlos Mantilla,google_basic,google_basic_live_serp,https://carlosmantillaasociados.es/servicios-asesoria-empresas-vigo-madrid-las-palmas,gb_service_pain,multiple|canarias,email,contabilidad@mantillaasociados.com,https://carlosmantillaasociados.es,"fiscal, contable, laboral, pymes, sociedades, mercantil, subvenciones","direct_email, pymes, sociedades",94,85,carlos-mantilla|multiple-canarias|email|contabilidad-mantillaasociados-com,"""asesoria pymes"" ""Las Palmas"" inurl:servicios",2,Unknown,Unknown,Unknown,despacho,85,"serp=Servicios | Asesoría de empresas en Vigo, Madrid y Las Palmas carlosmantillaasociados.es https://car | channel=contabilidad@mantillaasociados.com",StealthySession + Fetcher,2026-03-08T00:02:03+00:00,"google_live_discovery, serp_landing_not_root"
