company_name,source_lane,source_name,source_url,query_cluster,geography,contact_channel_type,email_or_channel,website_url,services,icp_signals,source_quality_score,contactability_score,dedupe_key,source_query,source_rank,contact_page_url,company_phone,postal_address,role_hint,icp_score,evidence_snippet,scrapling_fetcher,extracted_at_utc,notes
J&M Consulting,google_basic,google_basic_seeded_websites,https://jmsconsulting.es/contacto/,gb_core_contact,unknown|gran canaria,email,asesoria@jmsconsulting.es,https://jmsconsulting.es,"fiscal, contable, laboral","direct_email, contact_page",82,80,jandm-consulting|unknown-gran-canaria|email|asesoria-jmsconsulting-es,"""asesoria fiscal"" ""Las Palmas de Gran Canaria"" ""contacto""",1,https://jmsconsulting.es/contacto/,Unknown,Unknown,despacho,80,channel=asesoria@jmsconsulting.es,Fetcher,2026-03-07T23:38:22+00:00,seeded_google_basic_pilot
Unificont,google_basic,google_basic_seeded_websites,https://unificont.es/,gb_core_contact,unknown|gran canaria,email,direccion@unificont.es,https://unificont.es,"fiscal, contable, laboral, autonomos, pymes, igic, mercantil","direct_email, autonomos, pymes, igic",82,80,unificont|unknown-gran-canaria|email|direccion-unificont-es,"""asesoria fiscal contable"" Canarias email",2,Unknown,Unknown,Unknown,despacho,95,channel=direccion@unificont.es,Fetcher,2026-03-07T23:38:25+00:00,seeded_google_basic_pilot
Asesoria Fiscal Tenerife,google_basic,google_basic_seeded_websites,https://asesoriafiscaltenerife.es/,gb_core_contact,santa cruz de tenerife|tenerife,email,javier@asesoriafiscaltenerife.es,https://asesoriafiscaltenerife.es,"fiscal, contable, laboral, autonomos, sociedades, renta, mercantil","direct_email, capital_insular, autonomos, sociedades",82,95,asesoria-fiscal-tenerife|santa-cruz-de-tenerife-tenerife|email|javier-asesoriafiscaltenerife-es,"""asesoria contable"" ""Santa Cruz de Tenerife"" ""contacto""",3,Unknown,Unknown,Unknown,despacho,100,channel=javier@asesoriafiscaltenerife.es,Fetcher,2026-03-07T23:38:25+00:00,seeded_google_basic_pilot
Asesoramientos Tenerife,google_basic,google_basic_seeded_websites,https://www.asesoramientostenerife.com/,gb_service_pain,santa cruz de tenerife|tenerife,email,administracion@asesoramientostenerife.com,https://asesoramientostenerife.com,"fiscal, contable, laboral","direct_email, capital_insular",82,80,asesoramientos-tenerife|santa-cruz-de-tenerife-tenerife|email|administracion-asesoramientostenerife-com,IGIC asesoria Tenerife contacto,4,Unknown,34902999760,Unknown,despacho,85,channel=administracion@asesoramientostenerife.com,Fetcher,2026-03-07T23:38:26+00:00,seeded_google_basic_pilot
Fiscal Tax Canarias,google_basic,google_basic_seeded_websites,https://fiscaltaxcanarias.com/servicios/,gb_service_pain,las palmas de gran canaria|gran canaria,email,info@fiscaltaxcanarias.com,https://fiscaltaxcanarias.com,"fiscal, contable, laboral, sociedades, igic, renta","direct_email, capital_insular, sociedades, igic",82,80,fiscal-tax-canarias|las-palmas-de-gran-canaria-gran-canaria|email|info-fiscaltaxcanarias-com,"""sociedades"" ""asesoria fiscal"" Canarias email",5,Unknown,Unknown,Unknown,despacho,100,channel=info@fiscaltaxcanarias.com,Fetcher,2026-03-07T23:38:26+00:00,seeded_google_basic_pilot
OpenPlus Asesores,google_basic,google_basic_seeded_websites,https://openplusasesores.es/,gb_core_contact,las palmas de gran canaria|gran canaria,email,info@openplusasesores.es,https://openplusasesores.es,"fiscal, contable, laboral, autonomos, sociedades, igic, renta","direct_email, capital_insular, autonomos, sociedades, igic",82,80,openplus-asesores|las-palmas-de-gran-canaria-gran-canaria|email|info-openplusasesores-es,"""asesoria fiscal"" ""Las Palmas de Gran Canaria"" ""contacto""",6,Unknown,34928230438,Unknown,despacho,100,channel=info@openplusasesores.es,Fetcher,2026-03-07T23:38:27+00:00,seeded_google_basic_pilot
Asesoria en Tenerife,google_basic,google_basic_seeded_websites,https://www.asesoriaentenerife.es/,gb_core_contact,santa cruz de tenerife|tenerife,email,asesoriasantacruztenerife@gmail.com,https://asesoriaentenerife.es,"fiscal, contable, laboral, renta, mercantil",capital_insular,82,55,asesoria-en-tenerife|santa-cruz-de-tenerife-tenerife|email|asesoriasantacruztenerife-gmail-com,"""asesoria contable"" ""Santa Cruz de Tenerife"" ""contacto""",7,Unknown,822680076,Unknown,despacho,80,channel=asesoriasantacruztenerife@gmail.com,Fetcher,2026-03-07T23:38:27+00:00,seeded_google_basic_pilot
Asesoria BV,google_basic,google_basic_seeded_websites,https://asesoriabv.es/fiscal/,gb_service_pain,multiple|canarias,email,asesoriabvgc@gmail.com,https://asesoriabv.es,"fiscal, contable, laboral, renta",,82,55,asesoria-bv|multiple-canarias|email|asesoriabvgc-gmail-com,"""asesoria pymes"" ""Las Palmas"" inurl:servicios",8,Unknown,Unknown,Unknown,despacho,65,channel=asesoriabvgc@gmail.com,Fetcher,2026-03-07T23:38:27+00:00,seeded_google_basic_pilot
Asesquivel,google_basic,google_basic_seeded_websites,https://www.asesquivel.es/,gb_core_contact,las palmas de gran canaria|gran canaria,email,asesoria@asesquivel.es,https://asesquivel.es,"fiscal, contable, laboral, sociedades, renta","direct_email, capital_insular, sociedades",82,80,asesquivel|las-palmas-de-gran-canaria-gran-canaria|email|asesoria-asesquivel-es,"""asesoria fiscal"" ""Las Palmas de Gran Canaria"" ""contacto""",9,Unknown,Unknown,Unknown,despacho,100,channel=asesoria@asesquivel.es,Fetcher,2026-03-07T23:38:29+00:00,seeded_google_basic_pilot
Asesoria Garsa,google_basic,google_basic_seeded_websites,https://asesoriagarsa.com/fiscal-contable/,gb_service_pain,unknown|gran canaria,email,mgarcia@asesoriagarsa.com,https://asesoriagarsa.com,"fiscal, contable, laboral, sociedades, igic, renta","direct_email, sociedades, igic",82,95,asesoria-garsa|unknown-gran-canaria|email|mgarcia-asesoriagarsa-com,"""asesoria fiscal contable"" Canarias email",10,Unknown,Unknown,Unknown,despacho,95,channel=mgarcia@asesoriagarsa.com,Fetcher,2026-03-07T23:38:30+00:00,seeded_google_basic_pilot
Legiscan,google_basic,google_basic_seeded_websites,https://legiscan.es/,gb_service_pain,las palmas de gran canaria|gran canaria,email,legiscan@legiscan.es,https://legiscan.es,"fiscal, contable, laboral, pymes, sociedades, igic, renta, mercantil, subvenciones","direct_email, capital_insular, pymes, sociedades, igic",82,95,legiscan|las-palmas-de-gran-canaria-gran-canaria|email|legiscan-legiscan-es,"""asesoria pymes"" ""Las Palmas"" inurl:servicios",11,Unknown,34928149542,Unknown,despacho,100,channel=legiscan@legiscan.es,Fetcher,2026-03-07T23:38:30+00:00,seeded_google_basic_pilot
Asesores Canarios,google_basic,google_basic_seeded_websites,https://asesores-canarios.com/contacto-asesoria.html,gb_core_contact,san bartolome de tirajana|gran canaria,email,asesoria.pacoleon@gmail.com,https://asesores-canarios.com,"fiscal, contable, laboral, pymes, sociedades, renta, mercantil","contact_page, pymes, sociedades",82,55,asesores-canarios|san-bartolome-de-tirajana-gran-canaria|email|asesoria-pacoleon-gmail-com,"""gestoria"" ""Gran Canaria"" inurl:contacto",12,https://asesores-canarios.com/contacto-asesoria.html,Unknown,Unknown,despacho,90,channel=asesoria.pacoleon@gmail.com,Fetcher,2026-03-07T23:38:31+00:00,seeded_google_basic_pilot
ASESORIA SANTIAGO HERNANDEZ,specialized_directory,AAFC - Despachos Profesionales,https://asesoresfiscalesdecanarias.org/servicios/despachos-profesionales/,sd_colegial_sectorial,san cristobal de la laguna|tenerife,email,fiscal@asesoriahdez.com,Unknown,"fiscal, contable, laboral",direct_email,93,72,asesoria-santiago-hernandez|san-cristobal-de-la-laguna-tenerife|email|fiscal-asesoriahdez-com,"site:org ""asesores fiscales"" Canarias asociacion",1,Unknown,649467945,Unknown,despacho,80,649467945 | fiscal@asesoriahdez.com,Fetcher,2026-03-07T23:38:33+00:00,aafc_directory_pilot
RODRIGUEZ Y GUERRERO Y ASOCIADOS CONSULTANTS S.L.,specialized_directory,AAFC - Despachos Profesionales,https://asesoresfiscalesdecanarias.org/servicios/despachos-profesionales/,sd_colegial_sectorial,telde|gran canaria,email,asesoria@rygasesor.com,Unknown,"fiscal, contable, laboral",direct_email,93,72,rodriguez-y-guerrero-y-asociados-consultants|telde-gran-canaria|email|asesoria-rygasesor-com,"site:org ""asesores fiscales"" Canarias asociacion",2,Unknown,928715360,Unknown,despacho,80,928715360 | asesoria@rygasesor.com,Fetcher,2026-03-07T23:38:33+00:00,aafc_directory_pilot
"R.CALLERO ASESORES,S.L.",specialized_directory,AAFC - Despachos Profesionales,https://asesoresfiscalesdecanarias.org/servicios/despachos-profesionales/,sd_colegial_sectorial,arrecife|lanzarote,email,ramon@rcallero.es,Unknown,"fiscal, contable, laboral",direct_email,93,85,r-callero-asesores|arrecife-lanzarote|email|ramon-rcallero-es,"site:org ""asesores fiscales"" Canarias asociacion",3,Unknown,928814275,Unknown,despacho,70,928814275 | ramon@rcallero.es,Fetcher,2026-03-07T23:38:33+00:00,aafc_directory_pilot
EFRAIN PEREZ REYES G.A.L.C.O.,specialized_directory,AAFC - Despachos Profesionales,https://asesoresfiscalesdecanarias.org/servicios/despachos-profesionales/,sd_colegial_sectorial,tacoronte|tenerife,email,galco2782@gmail.com,Unknown,"fiscal, contable, laboral",,93,55,efrain-perez-reyes-g-a-l-c-o|tacoronte-tenerife|email|galco2782-gmail-com,"site:org ""asesores fiscales"" Canarias asociacion",4,Unknown,922560904,Unknown,despacho,75,922560904 | galco2782@gmail.com,Fetcher,2026-03-07T23:38:33+00:00,aafc_directory_pilot
MABRIBA SL,specialized_directory,AAFC - Despachos Profesionales,https://asesoresfiscalesdecanarias.org/servicios/despachos-profesionales/,sd_colegial_sectorial,las palmas de gran canaria|gran canaria,email,informacion@mabriba.com,Unknown,"fiscal, contable, laboral","direct_email, capital_insular",93,85,mabriba|las-palmas-de-gran-canaria-gran-canaria|email|informacion-mabriba-com,"site:org ""asesores fiscales"" Canarias asociacion",5,Unknown,928226803,Unknown,despacho,85,928226803 | INFORMACION@MABRIBA.COM,Fetcher,2026-03-07T23:38:33+00:00,aafc_directory_pilot
MARIO JAVIER LODOS VILLALBA,specialized_directory,AAFC - Despachos Profesionales,https://asesoresfiscalesdecanarias.org/servicios/despachos-profesionales/,sd_colegial_sectorial,puerto del rosario|fuerteventura,email,mariolodos@asesoriamariolodos.es,Unknown,"fiscal, contable, laboral",direct_email,93,85,mario-javier-lodos-villalba|puerto-del-rosario-fuerteventura|email|mariolodos-asesoriamariolodos-es,"site:org ""asesores fiscales"" Canarias asociacion",6,Unknown,928531617,Unknown,despacho,70,928531617 - 828913876 | mariolodos@asesoriamariolodos.es,Fetcher,2026-03-07T23:38:33+00:00,aafc_directory_pilot
