organization_id,organization_name,recovery_lane,query_pack,candidate_url,candidate_domain,discovery_status,validation_reason,validated_website_url
org_lebanon_fab4757c,الجامعة اللبنانية,discovery,,,,not_attempted,no_viable_query,
org_tunisia_cbs_rnrt_tn_2b553b27,مركز البيوتكنولوجيا بصفاقس,discovery,,,,not_attempted,no_viable_query,
org_universidad_de_huelva_spain_uhu_es_b672c674,Universidad de Huelva,own_site_not_ready,,,,not_needed,used_existing_website,https://www.uhu.es/
org_lebanon_biatcenter_org_52dd71e2,جمعية تطوير الأعمال في طرابلس,own_site_not_ready,,,,not_needed,used_existing_website,https://www.biatcenter.org/
org_greece_uoa_gr_910a5e49,Εθνικό και Καποδιστριακό Πανεπιστήμιο Αθηνών,own_site_not_ready,,,,not_needed,used_existing_website,https://www.uoa.gr/
org_jordan_narc_gov_jo_9d90b862,المركز الوطني للبحوث الزراعية,own_site_not_ready,,,,not_needed,used_existing_website,https://www.narc.gov.jo/
org_associaci_fons_catal_de_cooperaci_al_des_bb4836cc,Associació Fons Català de Cooperació al Desenvolupament,own_site_not_ready,,,,not_needed,used_existing_website,https://fonscatala.org/
org_tunisia_inrgref_iresa_tn_3870dfac,المعھد الوطني للبحوث في الھندسة الریفیة و المیاه والغابات,discovery,,,,not_attempted,no_viable_query,
org_lebanon_ldn_lb_org_38481d7b,الشبكة اللبنانية للتنمية,own_site_not_ready,,,,not_needed,used_existing_website,https://www.ldn-lb.org/
org_direcci_n_general_de_sal_d_p_blica_del_s_e2a3a100,Dirección General de Salúd Pública del Servicio,discovery,,,,not_attempted,no_viable_query,
org_agencia_canaria_de_investigaci_n_innovac_981a8496,"Agencia Canaria de Investigación, Innovación y Sociedad",discovery,,,,not_attempted,no_viable_query,
org_ayuntamiento_de_las_palmas_de_gran_spain_bf505e65,AYUNTAMIENTO DE LAS PALMAS DE GRAN,discovery,,,,not_attempted,no_viable_query,
org_universit_degli_studi_di_cagliari_italy_f28a689a,Università degli Studi di Cagliari,own_site_not_ready,,,,not_needed,used_existing_website,https://www.unica.it/it
org_dire_o_regional_de_organiza_o_e_administ_3aaa1510,Direção Regional de Organização e Administração,discovery,,,,not_attempted,no_viable_query,
org_centre_tunisien_pour_l_entrepreneuriat_s_1b06eb1d,Centre Tunisien pour l'Entrepreneuriat Social,own_site_not_ready,,,,not_needed,used_existing_website,https://tcse.network/
org_greece_uom_gr_e5ec92e8,Πανεπιστήμιο Μακεδονίας,own_site_not_ready,,,,not_needed,used_existing_website,https://www.uom.gr/
org_servicio_canario_de_la_salud_spain_301c692a,Servicio Canario de la Salud,discovery,,,,not_attempted,no_viable_query,
org_palestine_jericho_plo_ps_6d64cdb5,محافظة اريحا والأغوار,discovery,,,,not_attempted,no_viable_query,
org_kizanlikli_e_i_ti_m_dani_manlik_ko_luk_t_85f2b3a2,KIZANLIKLI EĞİTİM DANIŞMANLIK KOÇLUK TURİZM LTD. ŞTİ,own_site_not_ready,,,,not_needed,used_existing_website,https://kizanlikliacademy.com/
